,major,early_career_pay,mid_career_pay
368,Web & Digital Media Development,"$52,300","$88,000"
369,Entrepreneurial Studies,"$48,700","$87,900"
370,Fashion Design,"$47,500","$87,700"
371,Retailing,"$51,300","$87,600"
372,Business Communication,"$50,900","$87,300"
373,Environmental Science,"$49,100","$87,300"
374,Product Design Engineering,"$65,500","$87,200"
375,English Literature,"$47,700","$87,000"
376,Logistics,"$57,600","$87,000"
377,Math & Science,"$55,600","$86,900"
378,International Trade & Business,"$54,800","$86,800"
379,Pre-Medicine,"$50,800","$86,800"
380,Speech & Drama,"$37,500","$86,800"
381,Toxicology,"$44,600","$86,800"
382,Advertising & Marketing,"$49,000","$86,700"
383,Geographic Information Systems (GIS) & Spatial Analysis,"$54,000","$86,700"
384,Marketing & Mass Communications,"$45,400","$86,700"
385,Welding Technology,"$48,400","$86,700"
386,General Business,"$50,200","$86,600"
387,Construction Engineering Technology,"$55,800","$86,400"
388,Architectural Studies,"$45,400","$86,400"
389,Aviation Maintenance Technology,"$51,000","$86,300"
390,Communication Studies & Journalism,"$44,800","$86,200"
391,Management,"$51,600","$86,200"
392,General Science,"$49,100","$86,100"
393,Magazine Journalism,"$46,800","$86,100"
394,Electronics & Computer Technology,"$55,600","$86,000"
395,Theatre & Drama Studies,"$44,800","$86,000"
396,Animation,"$45,000","$85,900"
397,Biology & Chemistry,"$49,200","$85,900"
398,Diagnostic Medical Ultrasound,"$67,700","$85,900"
399,History & Politics,"$49,500","$85,900"
400,Public Affairs,"$52,700","$85,900"
401,Romance Languages,"$53,000","$85,900"
402,Physiology,"$49,300","$85,900"
403,Corporate Communications,"$48,500","$85,700"
404,International Affairs,"$51,600","$85,700"
405,Nursing Science,"$66,800","$85,700"
406,Organizational Development,"$53,800","$85,700"
407,Textile & Apparel Studies,"$47,100","$85,700"
408,Business Administration,"$52,800","$85,600"
409,Business Administration & Accounting,"$52,400","$85,600"
410,Philosophy & Religion,"$43,800","$85,600"
411,Architectural Design,"$47,700","$85,400"
412,Textile Design,"$50,000","$85,200"
413,Interpersonal & Organizational Communication,"$42,400","$85,200"
414,Geographic Information Systems (GIS),"$50,000","$85,100"
415,Business Management,"$51,700","$85,000"
416,Linguistics,"$52,100","$84,900"
417,French Language,"$49,600","$84,800"
418,Communication,"$48,000","$84,700"
419,Neuroscience,"$51,800","$84,700"
420,Business Management & Human Resources Management (HRM),"$46,800","$84,600"
421,Journalism & Mass Communication,"$46,300","$84,600"
422,Accounting & Management,"$55,500","$84,500"
423,Sociology & Organizational Studies,"$53,500","$84,300"
424,Crop Science,"$48,700","$84,200"
425,French Studies,"$52,400","$84,200"
426,Writing,"$44,200","$84,200"
427,Nursing,"$65,000","$84,200"
